Bande1,Bande2,Multiplicateur,Tolérance,Valeur
noir,noir,noir,or,0.0
noir,noir,noir,argent,0.0
noir,noir,marron,or,0.0
noir,noir,marron,argent,0.0
noir,noir,rouge,or,0.0
noir,noir,rouge,argent,0.0
noir,noir,orange,or,0.0
noir,noir,orange,argent,0.0
noir,noir,jaune,or,0.0
noir,noir,jaune,argent,0.0
noir,noir,vert,or,0.0
noir,noir,vert,argent,0.0
noir,noir,bleu,or,0.0
noir,noir,bleu,argent,0.0
noir,noir,violet,or,0.0
noir,noir,violet,argent,0.0
noir,noir,or,or,0.0
noir,noir,or,argent,0.0
noir,noir,argent,or,0.0
noir,noir,argent,argent,0.0
noir,marron,noir,or,1.0
noir,marron,noir,argent,1.0
noir,marron,marron,or,10.0
noir,marron,marron,argent,10.0
noir,marron,rouge,or,100.0
noir,marron,rouge,argent,100.0
noir,marron,orange,or,1000.0
noir,marron,orange,argent,1000.0
noir,marron,jaune,or,10000.0
noir,marron,jaune,argent,10000.0
noir,marron,vert,or,100000.0
noir,marron,vert,argent,100000.0
noir,marron,bleu,or,1000000.0
noir,marron,bleu,argent,1000000.0
noir,marron,violet,or,10000000.0
noir,marron,violet,argent,10000000.0
noir,marron,or,or,0.1
noir,marron,or,argent,0.1
noir,marron,argent,or,0.01
noir,marron,argent,argent,0.01
noir,rouge,noir,or,2.0
noir,rouge,noir,argent,2.0
noir,rouge,marron,or,20.0
noir,rouge,marron,argent,20.0
noir,rouge,rouge,or,200.0
noir,rouge,rouge,argent,200.0
noir,rouge,orange,or,2000.0
noir,rouge,orange,argent,2000.0
noir,rouge,jaune,or,20000.0
noir,rouge,jaune,argent,20000.0
noir,rouge,vert,or,200000.0
noir,rouge,vert,argent,200000.0
noir,rouge,bleu,or,2000000.0
noir,rouge,bleu,argent,2000000.0
noir,rouge,violet,or,20000000.0
noir,rouge,violet,argent,20000000.0
noir,rouge,or,or,0.2
noir,rouge,or,argent,0.2
noir,rouge,argent,or,0.02
noir,rouge,argent,argent,0.02
noir,orange,noir,or,3.0
noir,orange,noir,argent,3.0
noir,orange,marron,or,30.0
noir,orange,marron,argent,30.0
noir,orange,rouge,or,300.0
noir,orange,rouge,argent,300.0
noir,orange,orange,or,3000.0
noir,orange,orange,argent,3000.0
noir,orange,jaune,or,30000.0
noir,orange,jaune,argent,30000.0
noir,orange,vert,or,300000.0
noir,orange,vert,argent,300000.0
noir,orange,bleu,or,3000000.0
noir,orange,bleu,argent,3000000.0
noir,orange,violet,or,30000000.0
noir,orange,violet,argent,30000000.0
noir,orange,or,or,0.30000000000000004
noir,orange,or,argent,0.30000000000000004
