epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1119.72,1.4077,4.61288,1.45772,0.17184,0.14945,0.0596,0.03846,1.15049,4.29998,1.26867,0.00333311,0.00333311,0.00333311
2,2274.57,1.36953,3.96751,1.40393,0.24671,0.37089,0.1075,0.07417,1.17561,5.37535,1.29442,0.00653444,0.00653444,0.00653444
3,3561.48,1.39329,3.41266,1.4103,0.22088,0.47297,0.18274,0.12703,1.21289,5.44335,1.30917,0.00960378,0.00960378,0.00960378
4,4690.2,1.39616,2.78989,1.40165,0.32091,0.45366,0.2909,0.19438,1.1919,4.34565,1.30609,0.009406,0.009406,0.009406
5,5922.34,1.34646,2.32779,1.36381,0.34328,0.64389,0.4381,0.29671,1.19039,8.50212,1.27538,0.009208,0.009208,0.009208
6,6925.3,1.31813,2.04604,1.34204,0.54665,0.63965,0.64266,0.43897,1.13597,3.17729,1.24634,0.00901,0.00901,0.00901
7,8036.69,1.27961,1.84049,1.31183,0.64803,0.66963,0.72599,0.4914,1.13458,2.64018,1.24886,0.008812,0.008812,0.008812
8,9050.46,1.25655,1.6869,1.30593,0.62045,0.75719,0.76981,0.5256,1.14622,2.76282,1.24318,0.008614,0.008614,0.008614
9,10054.1,1.23655,1.55433,1.28816,0.76099,0.79694,0.83776,0.59049,1.08523,1.2708,1.21473,0.008416,0.008416,0.008416
10,11058.1,1.21881,1.49927,1.2762,0.79742,0.85239,0.87446,0.60093,1.10898,1.37772,1.24111,0.008218,0.008218,0.008218
11,12063.4,1.20669,1.42708,1.27617,0.83844,0.88702,0.90858,0.63695,1.07001,1.17634,1.1899,0.00802,0.00802,0.00802
12,13066.2,1.1945,1.37259,1.26217,0.86078,0.86692,0.91437,0.64543,1.05363,1.03422,1.19568,0.007822,0.007822,0.007822
13,14067.9,1.18501,1.31164,1.25076,0.84357,0.90122,0.91175,0.64645,1.05387,1.02528,1.18193,0.007624,0.007624,0.007624
14,15068.2,1.18388,1.27207,1.25095,0.90095,0.89927,0.92538,0.65318,1.04078,0.80307,1.18099,0.007426,0.007426,0.007426
15,16075.3,1.16436,1.24664,1.24039,0.91877,0.90435,0.93649,0.6722,1.03242,0.76918,1.17847,0.007228,0.007228,0.007228
16,17077,1.16041,1.20642,1.23684,0.93303,0.91581,0.94336,0.68277,1.02673,0.72138,1.16517,0.00703,0.00703,0.00703
17,18076.9,1.1402,1.18716,1.22374,0.928,0.91347,0.93407,0.67664,1.01906,0.65871,1.1555,0.006832,0.006832,0.006832
18,19071.4,1.1374,1.16088,1.22413,0.92138,0.91736,0.94358,0.68348,1.01103,0.64871,1.15079,0.006634,0.006634,0.006634
19,20069.8,1.1315,1.14296,1.21851,0.91568,0.92385,0.93746,0.68184,1.00271,0.65379,1.14087,0.006436,0.006436,0.006436
20,21053.6,1.11897,1.11802,1.2135,0.9361,0.91995,0.94248,0.67873,1.01033,0.67744,1.15102,0.006238,0.006238,0.006238
21,21982.1,1.11177,1.10636,1.2087,0.90816,0.94828,0.94769,0.6932,0.98583,0.59872,1.13182,0.00604,0.00604,0.00604
22,22911.6,1.11118,1.07782,1.20843,0.91001,0.94991,0.94702,0.6908,0.99608,0.57853,1.13783,0.005842,0.005842,0.005842
23,23850.3,1.10448,1.08359,1.20338,0.93569,0.93017,0.94607,0.68712,1.0013,0.614,1.14319,0.005644,0.005644,0.005644
24,24771.6,1.09099,1.05146,1.19509,0.94995,0.92657,0.94813,0.69163,0.99392,0.59471,1.14293,0.005446,0.005446,0.005446
25,25691.6,1.09074,1.04726,1.19337,0.94482,0.93217,0.95434,0.69676,0.98241,0.55813,1.12819,0.005248,0.005248,0.005248
26,26612.6,1.08054,1.01976,1.18637,0.94347,0.92845,0.9462,0.68885,0.99074,0.57129,1.13481,0.00505,0.00505,0.00505
27,27537.3,1.07905,1.00395,1.1869,0.91988,0.94098,0.95048,0.69944,0.98223,0.54756,1.13175,0.004852,0.004852,0.004852
28,28464.6,1.06707,0.9897,1.1804,0.93597,0.94147,0.95281,0.70641,0.96689,0.5286,1.12317,0.004654,0.004654,0.004654
29,29390.7,1.05902,0.98062,1.17539,0.93745,0.93559,0.94889,0.69584,0.96614,0.52233,1.11847,0.004456,0.004456,0.004456
30,30317.6,1.06157,0.96448,1.1726,0.93268,0.9416,0.95202,0.70323,0.95408,0.51581,1.11425,0.004258,0.004258,0.004258
31,31245.2,1.04639,0.95241,1.17116,0.90807,0.94949,0.95252,0.70407,0.95976,0.52084,1.1168,0.00406,0.00406,0.00406
32,32173.7,1.05178,0.94052,1.17051,0.91721,0.95119,0.95151,0.70663,0.96146,0.52121,1.11574,0.003862,0.003862,0.003862
33,33101.3,1.03887,0.92725,1.16341,0.93685,0.94596,0.95207,0.70422,0.95967,0.51461,1.11394,0.003664,0.003664,0.003664
34,34027.7,1.03662,0.91045,1.16495,0.93301,0.94609,0.95068,0.70787,0.9547,0.50325,1.11144,0.003466,0.003466,0.003466
35,34956.6,1.02835,0.9108,1.15317,0.93561,0.94602,0.95341,0.70368,0.9539,0.49875,1.11136,0.003268,0.003268,0.003268
36,35885.6,1.0278,0.90438,1.16037,0.93419,0.94139,0.95391,0.70755,0.95149,0.49548,1.11145,0.00307,0.00307,0.00307
37,36813.3,1.02851,0.90032,1.15665,0.93175,0.94502,0.94994,0.70724,0.94825,0.48923,1.11278,0.002872,0.002872,0.002872
38,37742.9,1.01329,0.87401,1.15105,0.93299,0.94333,0.9534,0.70686,0.95545,0.48331,1.11432,0.002674,0.002674,0.002674
39,38672,1.00885,0.86228,1.14779,0.94134,0.9428,0.95286,0.70644,0.95635,0.47763,1.11461,0.002476,0.002476,0.002476
40,39602.9,1.00626,0.85457,1.14938,0.94156,0.94074,0.9547,0.70676,0.95674,0.47328,1.11236,0.002278,0.002278,0.002278
41,40570.5,0.94447,0.46556,1.1159,0.9371,0.94271,0.95647,0.71083,0.9532,0.47705,1.11008,0.00208,0.00208,0.00208
42,41484.2,0.93533,0.4538,1.10926,0.93088,0.94545,0.95657,0.71094,0.95758,0.48329,1.1131,0.001882,0.001882,0.001882
43,42397.2,0.92848,0.44442,1.1068,0.92915,0.94759,0.95534,0.70963,0.95795,0.48672,1.11503,0.001684,0.001684,0.001684
44,43314.6,0.91926,0.43079,1.10365,0.91815,0.95839,0.95439,0.71056,0.95863,0.49099,1.11521,0.001486,0.001486,0.001486
45,44225,0.91158,0.42445,1.10218,0.91698,0.96261,0.95353,0.7118,0.95893,0.50357,1.11714,0.001288,0.001288,0.001288
46,45144.3,0.90692,0.41661,1.09313,0.91545,0.96203,0.9534,0.71251,0.96118,0.51257,1.11842,0.00109,0.00109,0.00109
47,46059.9,0.89608,0.40966,1.08939,0.91364,0.961,0.95491,0.7139,0.96259,0.51764,1.11971,0.000892,0.000892,0.000892
48,46976.9,0.89222,0.40443,1.0889,0.91356,0.95803,0.95375,0.71293,0.96195,0.52171,1.11993,0.000694,0.000694,0.000694
49,47887.3,0.88455,0.39611,1.08263,0.92616,0.94101,0.95388,0.71139,0.96268,0.52758,1.12033,0.000496,0.000496,0.000496
50,48803.7,0.87863,0.39111,1.08045,0.92468,0.94349,0.95356,0.71033,0.96375,0.52947,1.12103,0.000298,0.000298,0.000298
